id,year_min,year_max,era_weight,name,text,event_type,effect_money,effect_pollution,effect_fish,effect_support,effect_pollution_growth,choice_a_text,choice_a_effects,choice_b_text,choice_b_effects,choice_c_text,choice_c_effects
climate_awakening,60,70,1,The Currents' Warning,"The ocean's temperature begins to rise, threatening the delicate balance of marine life and revealing the interconnected nature of all problems",auto,0,0,-4,12,0.0,,,,,,
circular_economy_dawn,80,90,1,The Eternal Cycle,"Visionary leaders propose a new way of living where nothing is wasted and everything is reused - a true circular economy",auto,0,-8,2,8,-0.15,,,,,,
biodegradable_breakthrough,90,100,1,The Living Materials,"Ocean scholars develop materials that truly return to the ocean's embrace, offering a path to harmony with the depths",auto,0,-5,3,6,-0.1,,,,,,
global_awakening,100,120,1,The World's Realization,"All floating cities unite in recognition that the ocean's health is essential for survival - a global awakening begins",auto,0,-10,5,15,-0.2,,,,,,
bottle_deposit_system,15,25,2,The Return Vessel Program,"Floating cities implement a system where empty containers can be returned for small rewards, reducing waste in the currents",auto,0,-4,0,3,0.0,,,,,,
packaging_explosion,20,30,2,The Wrapper's Reign,"Every product comes wrapped in multiple layers of synthetic material, creating a cascade of waste across the settlements",auto,3,10,-2,0,0.08,,,,,,
fishing_gear_standardization,35,45,1,The Net-Maker's Code,"Fishing guilds establish standards for gear that can be easily recovered, reducing the phantom nets that haunt the depths",auto,0,-3,2,2,0.0,,,,,,
ocean_cleanup_technology,50,65,1,The Depth-Sweepers,"Revolutionary technology allows for the removal of synthetic materials from the ocean's surface, offering hope for cleanup",auto,0,-8,1,5,0.0,,,,,,
microfiber_crisis,55,70,2,The Thread's Curse,"Synthetic fibers from clothing are discovered to be polluting the ocean in vast quantities, revealing a hidden source of contamination",auto,0,6,-3,-2,0.0,,,,,,
single_use_ban_wave,70,85,2,The Prohibition Era,"Floating cities begin banning single-use items in waves, creating a cultural shift toward reusable alternatives",auto,0,-12,3,10,-0.12,,,,,,
ocean_plastic_treaty,85,100,1,The Depths Accord,"A historic agreement between all floating cities establishes binding commitments to reduce synthetic material pollution",auto,0,-15,5,12,-0.25,,,,,,
recycling_reality_check,10,20,2,The Recycling Illusion,"Ocean scholars discover that only 9% of plastic waste is actually recycled globally - much lower than expected",auto,0,5,-2,-3,0.0,,,,,,
china_production_surge,15,25,2,The Eastern Tide,"Distant floating cities in the eastern waters have become the world's largest producers of synthetic materials, accounting for nearly a third of global production",auto,8,8,-1,0,0.05,,,,,,
us_consumption_crisis,20,30,2,The Western Excess,"Floating cities in the western waters consume 130kg of synthetic materials per person annually - 2-8 times more than other regions",auto,12,10,-2,-2,0.08,,,,,,
cleanup_breakthrough,40,60,1,The Cleanup Revelation,"Ocean scholars discover that aggressive cleanup operations are less harmful to marine life than leaving pollution in place",auto,0,-5,3,5,0.0,,,,,,
upstream_awakening,25,35,2,The Source Revelation,"Ocean scholars realize that preventing pollution at its source is far more effective than cleaning up after it enters the ocean",auto,0,-3,2,4,-0.10,,,,,,
